id,origin,destination,algorithm,distance_straight_line,obst_qty,time_to_plan,d_path,ratio,distance_to_objective,factibility,qty_wp,first_factible_route_found_time,exception,battery
0,region_1,region_2,rrt,0.5418505199187075,0,0.015006065368652344,580.4312992025768,1071.2018866193162,0.0,feasible,25,,,100
0,region_1,region_2,rrt,0.5418505199187075,0,0.015006065368652344,580.4312992025768,1071.2018866193162,0.0,feasible,25,,,75
0,region_1,region_2,rrt,0.5418505199187075,0,0.015006065368652344,580.4312992025768,1071.2018866193162,0.0,feasible,25,,,50
0,region_1,region_2,rrt,0.5418505199187075,0,0.015006065368652344,580.4312992025768,1071.2018866193162,0.0,feasible,25,,,25
0,region_1,region_2,rrt,0.5418505199187075,0,0.015006065368652344,580.4312992025768,1071.2018866193162,0.0,feasible,25,,,15
0,region_1,region_2,rrt,0.5418505199187075,0,0.015006065368652344,580.4312992025768,1071.2018866193162,0.0,feasible,25,,,10
1,region_1,region_2,pfp,0.5418505199187075,0,0.2972140312194824,551.1377218800282,1017.1397860109353,220.98971195702583,verify,28,,,100
1,region_1,region_2,pfp,0.5418505199187075,0,0.2972140312194824,551.1377218800282,1017.1397860109353,220.98971195702583,verify,28,,,75
1,region_1,region_2,pfp,0.5418505199187075,0,0.2972140312194824,551.1377218800282,1017.1397860109353,220.98971195702583,verify,28,,,50
1,region_1,region_2,pfp,0.5418505199187075,0,0.2972140312194824,551.1377218800282,1017.1397860109353,220.98971195702583,verify,28,,,25
1,region_1,region_2,pfp,0.5418505199187075,0,0.2972140312194824,551.1377218800282,1017.1397860109353,220.98971195702583,verify,28,,,15
1,region_1,region_2,pfp,0.5418505199187075,0,0.2972140312194824,551.1377218800282,1017.1397860109353,220.98971195702583,verify,28,,,10
2,region_1,region_2,ag,0.5418505199187075,0,1.7090668678283691,541.5157436294036,999.3821611736128,0,feasible,6,,,100
2,region_1,region_2,ag,0.5418505199187075,0,1.7090668678283691,541.5157436294036,999.3821611736128,0,feasible,6,,,75
2,region_1,region_2,ag,0.5418505199187075,0,1.7090668678283691,541.5157436294036,999.3821611736128,0,feasible,6,,,50
2,region_1,region_2,ag,0.5418505199187075,0,1.7090668678283691,541.5157436294036,999.3821611736128,0,feasible,6,,,25
2,region_1,region_2,ag,0.5418505199187075,0,1.7090668678283691,541.5157436294036,999.3821611736128,0,feasible,6,,,15
2,region_1,region_2,ag,0.5418505199187075,0,1.7090668678283691,541.5157436294036,999.3821611736128,0,feasible,6,,,10
3,region_1,region_3,rrt,1.2720159213716862,0,0.031908273696899414,1409.4452311595405,1108.0405578883451,0.0,feasible,58,,,100
3,region_1,region_3,rrt,1.2720159213716862,0,0.031908273696899414,1409.4452311595405,1108.0405578883451,0.0,feasible,58,,,75
3,region_1,region_3,rrt,1.2720159213716862,0,0.031908273696899414,1409.4452311595405,1108.0405578883451,0.0,feasible,58,,,50
3,region_1,region_3,rrt,1.2720159213716862,0,0.031908273696899414,1409.4452311595405,1108.0405578883451,0.0,feasible,58,,,25
3,region_1,region_3,rrt,1.2720159213716862,0,0.031908273696899414,1409.4452311595405,1108.0405578883451,0.0,feasible,58,,,15
3,region_1,region_3,rrt,1.2720159213716862,0,0.031908273696899414,1409.4452311595405,1108.0405578883451,0.0,feasible,58,,,10
4,region_1,region_3,pfp,1.2720159213716862,0,3.7464661598205566,1378.8410978539846,1083.9810058093478,965.5469841904358,verify,61,,,100
4,region_1,region_3,pfp,1.2720159213716862,0,3.7464661598205566,1378.8410978539846,1083.9810058093478,965.5469841904358,verify,61,,,75
4,region_1,region_3,pfp,1.2720159213716862,0,3.7464661598205566,1378.8410978539846,1083.9810058093478,965.5469841904358,verify,61,,,50
4,region_1,region_3,pfp,1.2720159213716862,0,3.7464661598205566,1378.8410978539846,1083.9810058093478,965.5469841904358,verify,61,,,25
4,region_1,region_3,pfp,1.2720159213716862,0,3.7464661598205566,1378.8410978539846,1083.9810058093478,965.5469841904358,verify,61,,,15
4,region_1,region_3,pfp,1.2720159213716862,0,3.7464661598205566,1378.8410978539846,1083.9810058093478,965.5469841904358,verify,61,,,10
5,region_1,region_3,ag,1.2720159213716862,0,1.3140358924865723,1304.12652166708,1025.2438666496935,0,feasible,6,,,100
5,region_1,region_3,ag,1.2720159213716862,0,1.3140358924865723,1304.12652166708,1025.2438666496935,0,feasible,6,,,75
5,region_1,region_3,ag,1.2720159213716862,0,1.3140358924865723,1304.12652166708,1025.2438666496935,0,feasible,6,,,50
5,region_1,region_3,ag,1.2720159213716862,0,1.3140358924865723,1304.12652166708,1025.2438666496935,0,feasible,6,,,25
5,region_1,region_3,ag,1.2720159213716862,0,1.3140358924865723,1304.12652166708,1025.2438666496935,0,feasible,6,,,15
5,region_1,region_3,ag,1.2720159213716862,0,1.3140358924865723,1304.12652166708,1025.2438666496935,0,feasible,6,,,10
6,region_1,region_4,rrt,1.0817932402223729,0,0.02278590202331543,1196.5886793933378,1106.115877695231,0.0,feasible,49,,,100
6,region_1,region_4,rrt,1.0817932402223729,0,0.02278590202331543,1196.5886793933378,1106.115877695231,0.0,feasible,49,,,75
6,region_1,region_4,rrt,1.0817932402223729,0,0.02278590202331543,1196.5886793933378,1106.115877695231,0.0,feasible,49,,,50
6,region_1,region_4,rrt,1.0817932402223729,0,0.02278590202331543,1196.5886793933378,1106.115877695231,0.0,feasible,49,,,25
6,region_1,region_4,rrt,1.0817932402223729,0,0.02278590202331543,1196.5886793933378,1106.115877695231,0.0,feasible,49,,,15
