id,origin,destination,algorithm,battery,obstacles_qty,distance,time_to_plan,distance_path,ratio,distance_to_objective,factibility,qty_wp,first_factible_route_found_time,exception
31,region_3,region_2,ag,,0,1352.2457597527782,133.33084511756897,1429.5622678895388,1.0571763731401131,0.0,feasible,6,,
32,region_3,region_4,ag,,0,1275.8924191562921,130.90236163139343,1538.4497174239164,1.2057832575267162,0.0,feasible,7,,
33,region_3,region_5,ag,,0,1922.0973499884026,133.16602540016174,2026.509586191804,1.0543220332747618,0.0,feasible,7,,
34,region_3,region_6,ag,,0,1307.9400753573977,131.44315695762634,1327.0378436445874,1.0146014092289137,0.0,feasible,7,,
35,region_3,region_7,ag,,0,476.4879627239755,132.47742772102356,520.1144934274541,1.0915585158837497,0.0,feasible,6,,
36,region_3,region_8,ag,,0,679.041719724434,129.30763983726501,768.5128438348933,1.1317608646295962,0.0,feasible,6,,
37,region_3,region_9,ag,,0,2164.767617554617,131.3896200656891,2758.6455968783443,1.2743379818267,0.0,feasible,12,,
38,region_3,region_10,ag,,0,2537.3900193292898,131.09512972831726,2665.4689573833316,1.0504766461120931,0.0,feasible,6,,
39,region_3,region_11,ag,,0,2400.9515422350382,130.48673605918884,2726.2689103532084,1.1354951828037867,0.0,feasible,10,,
40,region_3,region_12,ag,,0,2627.784512048685,133.15996956825256,2801.6740202859814,1.0661734276307642,63.2554366434218,verify,8,,
41,region_3,base_1,ag,,1,2775.4155396842357,132.21850776672363,3665.4292241972053,1.3206776325156082,0.0,feasible,8,,
42,region_3,base_2,ag,,0,2736.2293180595857,132.3292317390442,3229.1780618482435,1.1801562246757284,20.181577615154012,verify,12,,
43,region_3,base_3,ag,,0,3241.3841290433006,130.84668684005737,3691.2469353881243,1.1387872552080402,0.0,feasible,9,,
44,region_3,base_4,ag,,0,821.2388143548563,132.8568081855774,884.2359410368631,1.0767098748632524,0.0,feasible,6,,
45,region_4,region_1,ag,,0,2981.269234660517,131.26269578933716,3516.0259557528148,1.1793721663495418,0.0,feasible,8,,
46,region_4,region_2,ag,,0,2627.3430832878053,130.92158460617065,3129.6269911612435,1.1911756066683497,0.0,feasible,8,,
47,region_4,region_3,ag,,0,1275.8924191562921,130.47428917884827,1314.01408877849,1.0298784357127904,0.0,feasible,7,,
48,region_4,region_5,ag,,0,2990.493583752786,132.0627522468567,3160.035865093877,1.0566937452272784,0.0,feasible,8,,
49,region_4,region_6,ag,,0,2525.8007576709524,131.92444372177124,2900.4008817500408,1.148309451147884,45.72078621501126,verify,9,,
50,region_4,region_7,ag,,0,1151.6981637123372,131.81542038917542,1257.2155565283042,1.0916189641874974,0.0,feasible,7,,
51,region_4,region_8,ag,,0,662.6017567814649,131.63739132881165,735.7431449382632,1.1103851407096725,0.0,feasible,6,,
52,region_4,region_9,ag,,0,3197.5048804899466,131.62822771072388,3502.546413681764,1.0953998647673922,0.0,feasible,10,,
53,region_4,region_10,ag,,0,3568.183542261609,132.6556646823883,4320.691731951558,1.210893913044896,0.0,feasible,8,,
54,region_4,region_11,ag,,0,3447.7837406552076,132.3632140159607,4049.6749922560834,1.1745733772404454,0.0,feasible,11,,
55,region_4,region_12,ag,,0,3737.7278587889573,131.91212964057922,3850.3381647246442,1.030128010970861,0.0,feasible,8,,
56,region_4,base_1,ag,,1,3916.2394501053777,132.02534866333008,4294.075620914234,1.0964793332028482,0.0,feasible,8,,
57,region_4,base_2,ag,,0,3886.0651112410196,132.46122479438782,4493.259299097293,1.1562491030065023,0.0,feasible,12,,
58,region_4,base_3,ag,,0,4308.769796931463,132.8687424659729,5122.553996668732,1.188866947664926,0.0,feasible,8,,
59,region_4,base_4,ag,,0,1885.6406927803714,132.20057678222656,2104.5307002531667,1.1160825645685672,0.0,feasible,7,,
60,region_5,region_1,ag,,1,3855.5336870601086,133.91922616958618,4311.314275337967,1.1182146559392137,0.0,feasible,10,,
61,region_5,region_2,ag,,0,1231.9841550149051,132.11281275749207,1320.7623999198868,1.0720611905141813,0.0,feasible,6,,
62,region_5,region_3,ag,,0,1922.0973499884026,133.05311489105225,2212.709376732541,1.1511952694518266,0.0,feasible,9,,
63,region_5,region_4,ag,,0,2990.493583752786,132.1618411540985,3781.360084882529,1.2644601899253303,0.0,feasible,8,,
64,region_5,region_6,ag,,0,790.9863318451643,131.4550404548645,834.979049605116,1.055617544815633,0.0,feasible,6,,
65,region_5,region_7,ag,,0,1842.9505353848515,134.91424584388733,2100.672803156589,1.1398422056498219,0.0,feasible,8,,
66,region_5,region_8,ag,,0,2335.072734382897,137.0261206626892,2495.0435674978053,1.0685078587743368,0.0,feasible,6,,
67,region_5,region_9,ag,,0,258.7410364555882,132.72517609596252,336.71779931387545,1.3013699099550127,0.0,feasible,6,,
68,region_5,region_10,ag,,0,617.9149228225778,130.69120812416077,664.3903929229015,1.0752133803275508,0.0,feasible,6,,
69,region_5,region_11,ag,,0,479.0733114651323,133.6160924434662,483.4285300689746,1.0090909230374845,0.0,feasible,6,,
70,region_5,region_12,ag,,0,751.6922054632438,132.71092319488525,800.1613186336099,1.0644799996835088,0.0,feasible,6,,
71,region_5,base_1,ag,,0,2920.9866459095474,132.3304455280304,4191.118716756835,1.4348298108880224,0.0,feasible,10,,
