id,origin,destination,algorithm,battery,obstacles_qty,distance,time_to_plan,distance_path,ratio,distance_to_objective,factibility,qty_wp,first_factible_route_found_time,exception
0,region_1,region_2,ag,,0,338.8250173021828,121.55813336372375,372.7284986717046,1.1000619188024265,0.0,feasible,6,,
1,region_1,region_3,ag,,3,655.2877719661308,122.06173419952393,768.206659322793,1.1723195398837667,0.0,feasible,6,,
2,region_1,region_4,ag,,4,659.0128783355639,121.68048238754272,704.3737944599277,1.0688316080240035,0.0,feasible,6,,
3,region_1,region_5,ag,,7,697.4354471647061,121.65315437316895,900.9525649163434,1.2918078204642425,0.0,feasible,9,,
4,region_1,region_6,ag,,6,943.386637408425,121.67260217666626,1439.9372792589572,1.5263490303557883,0.0,feasible,10,,
5,region_1,base_1,ag,,0,316.6454075722452,121.61361837387085,464.4018945216402,1.466630759252945,0.0,feasible,6,,
6,region_1,base_2,ag,,2,439.8029760194451,122.14821910858154,466.4614012118716,1.0606144720386064,0.0,feasible,6,,
7,region_1,base_3,ag,,5,1032.0383310752431,121.89290928840637,1190.4115124785903,1.153456685313562,26.548094937969964,verify,8,,
8,region_2,region_1,ag,,0,338.8250173021828,122.01456069946289,415.2641341801353,1.2256005695405303,0.0,feasible,7,,
9,region_2,region_3,ag,,3,350.5722150443821,122.33733749389648,465.25087699127397,1.327118513748654,0.0,feasible,6,,
10,region_2,region_4,ag,,3,411.8304954731966,121.92192482948303,531.2682432075425,1.290016764293064,0.0,feasible,7,,
11,region_2,region_5,ag,,7,633.0413962569659,122.07883954048157,816.2571450260837,1.289421434131215,0.0,feasible,6,,
12,region_2,region_6,ag,,5,788.3504002779168,121.88314890861511,1168.5003890596154,1.4822094193745377,0.0,feasible,7,,
13,region_2,base_1,ag,,0,121.15525698733995,121.51601362228394,122.44011218240364,1.0106050304956882,0.0,feasible,6,,
14,region_2,base_2,ag,,3,561.6830281191778,121.91979789733887,643.648986136204,1.1459292054657466,0.0,feasible,7,,
15,region_2,base_3,ag,,6,852.9026076265086,121.98420977592468,1168.0182514580756,1.3694626338504035,31.23914266866835,verify,9,,
16,region_3,region_1,ag,,3,655.2877719661308,121.96647381782532,1070.3060822823406,1.6333374863244976,0.0,feasible,8,,
17,region_3,region_2,ag,,3,350.5722150443821,121.61260294914246,499.5602141455066,1.4249851890922467,0.0,feasible,6,,
18,region_3,region_4,ag,,2,153.28729205990834,122.09314322471619,193.47130702724598,1.2621483779074965,0.0,feasible,6,,
19,region_3,region_5,ag,,7,535.1691822549889,122.26281571388245,555.603164293624,1.0381822846235922,0.0,feasible,6,,
20,region_3,region_6,ag,,1,550.8277417826804,121.63397097587585,612.7903303730232,1.112489956278907,0.0,feasible,6,,
21,region_3,base_1,ag,,3,339.2394406545742,121.73137092590332,384.7057386725421,1.1340242099510573,0.0,feasible,7,,
22,region_3,base_2,ag,,5,673.8451171985862,121.96602773666382,1020.7116672214818,1.5147570876004017,0.0,feasible,6,,
23,region_3,base_3,ag,,2,581.7048850048186,121.93700218200684,753.0024288949487,1.29447499635268,0.0,feasible,6,,
24,region_4,region_1,ag,,4,659.0128783355639,121.83743190765381,813.3251449144268,1.234156678346866,0.0,feasible,8,,
25,region_4,region_2,ag,,3,411.8304954731966,121.83663439750671,575.4964016627586,1.3974108473961078,0.0,feasible,7,,
26,region_4,region_3,ag,,2,153.28729205990834,122.02549242973328,176.13234621439483,1.149034234002634,0.0,feasible,6,,
27,region_4,region_5,ag,,2,388.0135013250943,292.5946900844574,391.2723010830059,1.0083986761975616,0.0,feasible,6,,
28,region_4,region_6,ag,,2,407.6777086766563,121.66568303108215,593.7195018634166,1.456345267909452,0.0,feasible,6,,
29,region_4,base_1,ag,,2,353.11597637796075,121.94207644462585,388.29736382802014,1.0996312537623691,0.0,feasible,8,,
30,region_4,base_2,ag,,4,578.1423053352579,121.85612463951111,866.6848940816994,1.4990857546380716,0.0,feasible,6,,
31,region_4,base_3,ag,,2,452.5572495284332,121.54189443588257,504.7855793685722,1.1154071222912927,0.0,feasible,7,,
32,region_5,region_1,ag,,7,697.4354471647061,121.82975316047668,925.7046844796885,1.327298014809784,0.0,feasible,6,,
33,region_5,region_2,ag,,7,633.0413962569659,121.90571737289429,748.4536537676854,1.1823139184785179,0.0,feasible,6,,
34,region_5,region_3,ag,,7,535.1691822549889,122.05155158042908,638.4194442842537,1.1929301339703633,0.0,feasible,7,,
35,region_5,region_4,ag,,2,388.0135013250943,122.23782515525818,416.0137037862864,1.072162959189743,0.0,feasible,6,,
36,region_5,region_6,ag,,2,296.6697741154995,121.78023171424866,391.47163427948715,1.3195534848355648,0.0,feasible,6,,
37,region_5,base_1,ag,,4,518.3562552121417,121.69470405578613,560.7660076771967,1.081815840049424,0.0,feasible,6,,
38,region_5,base_2,ag,,4,361.6679050311063,121.76334738731384,395.07311108910096,1.0923643087852144,0.0,feasible,6,,
39,region_5,base_3,ag,,2,403.00514327285606,121.6754355430603,418.95896636590993,1.0395871451254712,0.0,feasible,6,,
40,region_6,region_1,ag,,6,943.386637408425,121.71125674247742,1803.3809936528849,1.9116032834712904,0.0,feasible,9,,
41,region_6,region_2,ag,,5,788.3504002779168,121.79673910140991,871.9244309596404,1.1060112744945156,0.0,feasible,6,,
42,region_6,region_3,ag,,1,550.8277417826804,121.72225856781006,689.2506384411577,1.2512997914928723,0.0,feasible,8,,
43,region_6,region_4,ag,,2,407.6777086766563,121.78586196899414,510.9396122661634,1.2532929846095848,0.0,feasible,6,,
44,region_6,region_5,ag,,2,296.6697741154995,121.83425402641296,371.86838612598115,1.253475812406846,0.0,feasible,8,,
45,region_6,base_1,ag,,2,696.2439711888061,121.60959815979004,846.3883429346822,1.2156490798613468,0.0,feasible,6,,
46,region_6,base_2,ag,,3,656.9573875005123,121.6780366897583,944.3144767590916,1.437405979026844,0.0,feasible,12,,
47,region_6,base_3,ag,,0,106.96004500988776,122.01224112510681,101.9159911887983,0.9528417006497784,0.0,feasible,6,,
48,base_1,region_1,ag,,0,316.6454075722452,121.80584979057312,480.14835630642716,1.5163597665533093,0.0,feasible,6,,
49,base_1,region_2,ag,,0,121.15525698733995,121.71616911888123,122.0958339731941,1.00776340217703,0.0,feasible,6,,
50,base_1,region_3,ag,,3,339.2394406545742,121.7252893447876,457.10791775554435,1.3474492142586336,0.0,feasible,6,,
51,base_1,region_4,ag,,2,353.11597637796075,121.75649881362915,356.1865942253478,1.0086957771746368,0.0,feasible,7,,
52,base_1,region_5,ag,,4,518.3562552121417,121.70533752441406,685.3079089500548,1.3220789795805332,0.0,feasible,8,,
53,base_1,region_6,ag,,2,696.2439711888061,121.45671200752258,845.7062932341255,1.2146694667820521,30.492939404107005,verify,9,,
54,base_1,base_2,ag,,0,447.7308871610957,121.6626946926117,491.1030697089327,1.096871097776713,0.0,feasible,6,,
55,base_1,base_3,ag,,0,769.594910346969,121.93207716941833,1127.310716286508,1.4648105141161398,0.0,feasible,7,,
56,base_2,region_1,ag,,2,439.8029760194451,121.33022284507751,505.56498695222604,1.149526070805563,0.0,feasible,9,,
