id,origin,destination,algorithm,battery,obstacles_qty,distance,time_to_plan,distance_path,ratio,distance_to_objective,factibility,qty_wp,first_factible_route_found_time,exception
45,region_4,region_1,rrt,,0,2981.269234660517,1.6072661876678467,3373.6312819112477,1.1316090619019217,0.0,feasible,136,,
46,region_4,region_2,rrt,,0,2627.3430832878053,1.4708805084228516,2886.73644119152,1.098728392022223,0.0,feasible,117,,
47,region_4,region_3,rrt,,0,1275.8924191562921,1.4459185600280762,1411.7988184763192,1.1065186980340378,0.0,feasible,58,,
48,region_4,region_5,rrt,,0,2990.493583752786,1.508265733718872,3355.144293731901,1.1219366301135858,0.0,feasible,136,,
49,region_4,region_6,rrt,,0,2525.8007576709524,1.3184475898742676,2835.6009370185097,1.1226542427809012,0.0,feasible,115,,
50,region_4,region_7,rrt,,0,1151.6981637123372,1.3998351097106934,1347.360548441813,1.169890333157071,0.0,feasible,55,,
51,region_4,region_8,rrt,,0,662.6017567814649,1.41121506690979,749.9907716377834,1.1318876896445365,0.0,feasible,31,,
52,region_4,region_9,rrt,,0,3197.5048804899466,1.4386556148529053,3501.1346658192188,1.0949583492997663,0.0,feasible,142,,
53,region_4,region_10,rrt,,0,3568.183542261609,1.6196413040161133,3848.023002036689,1.0784263075205236,0.0,feasible,155,,
54,region_4,region_11,rrt,,0,3447.7837406552076,1.5980634689331055,3898.89942616039,1.1308422219716872,0.0,feasible,157,,
55,region_4,region_12,rrt,,0,3737.7278587889573,1.4766671657562256,4137.913507087311,1.1070665557839772,0.0,feasible,167,,
56,region_4,base_1,rrt,,1,3916.2394501053777,1.7735118865966797,4224.936299187648,1.0788248147272925,0.0,feasible,170,,
57,region_4,base_2,rrt,,0,3886.0651112410196,1.8544182777404785,4321.207582475234,1.1119750850225076,0.0,feasible,174,,
58,region_4,base_3,rrt,,0,4308.769796931463,1.5380723476409912,4757.634583956084,1.1041746967647899,0.0,feasible,192,,
